GEOID,NAME,NAMELSAD,COUNTY,TOTAL_PARCELS,PCT_PARCELS_RISK_2024,PCT_PARCELS_RISK_2050,MARKET_VALUE_RISK_2024,MARKET_VALUE_RISK_2050,TAX_RISK_2024,TAX_RISK_2050,CRISIS_PARCELS,EMIGRATING_PARCELS,DESTINATION_PARCELS,STABLE_PARCELS,CRISIS_PARCELS_PCT,EMIGRATING_PARCELS_PCT,DESTINATION_PARCELS_PCT,STABLE_PARCELS_PCT,TOTAL_AIRPORTS,AIRPORTS_2025,PCT_AIRPORTS_2025,AIRPORTS_2050,PCT_AIRPORTS_2050,TOTAL_HOSPITALS,HOSPITALS_2025,PCT_HOSPITALS_2025,HOSPITAL_2050,PCT_HOSPITALS_2050,TOTAL_KNOWN_CONTAMINATED_SITE,KNOWN_CONTAMINATED_SITE_2025,PCT_KNOWN_CONTAMINATED_SITE_2025,KNOWN_CONTAMINATED_SITE_2050,PCT_KNOWN_CONTAMINATED_SITE_2050,TOTAL_LIBRARY,LIBRARY_2025,PCT_LIBRARY_2025,LIBRARY_2050,PCT_LIBRARY_2050,TOTAL_PARKS,PARKS_2025,PCT_PARKS_2025,PARKS_2050,PCT_PARKS_2050,TOTAL_POWERPLANTS,POWERPLANTS_2025,PCT_POWERPLANTS_2025,POWERPLANTS_2050,PCT_POWERPLANTS_2050,TOTAL_SCHOOL,SCHOOL_2025,PCT_SCHOOL_2025,SCHOOL_2050,PCT_SCHOOL_2050,TOTAL_SOLID_HAZARD_WASTE,SOLID_HAZARD_WASTE_2025,PCT_SOLID_HAZARD_WASTE_2025,SOLID_HAZARD_WASTE_2050,PCT_SOLID_HAZARD_WASTE_2050,TOTAL_SOLID_WASTE_LANDFILL,SOLID_WASTE_LANDFILL_2025,PCT_SOLID_WASTE_LANDFILL_2025,SOLID_WASTE_LANDFILL_2050,PCT_SOLID_WASTE_LANDFILL_2050,TOTAL_SUPERFUND,SUPERFUND_2025,PCT_SUPERFUND_2025,SUPERFUND_2050,PCT_SUPERFUND_2050,TOTAL_WASTEWATER_TREATMENT,WASTEWATER_TREATMENT_2025,PCT_WASTEWATER_TREATMENT_2025,WASTEWATER_TREATMENT_2050,PCT_WASTEWATER_TREATMENT_2050
34001,Atlantic,Atlantic County,ATLANTIC,137316,0.3044,0.3873,22838372643,26473115030,269716299,333126295,38205,14973,64249,19679,0.278,0.109,0.468,0.143,5,1,20,1,20,18,5,27.8,8,44.4,288,95,33,151,52.4,17,6,35.3,7,41.2,99,74,74.7,77,77.8,17,6,35.3,6,35.3,99,17,17.2,25,25.3,11,,0,,0,34,1,2.9,4,11.8,6,0,0,0,0,3,2,66.7,2,66.7
34003,Bergen,Bergen County,BERGEN,279807,0.0555,0.1251,20789818719,40298249770,301140962,657425132,11302,23713,54204,190568,0.04,0.085,0.194,0.681,1,1,100,1,100,13,3,23.1,4,30.8,941,281,29.9,458,48.7,63,10,15.9,18,28.6,363,172,47.4,211,58.1,7,2,28.6,4,57.1,414,20,4.8,53,12.8,11,6,54.5,7,63.6,31,9,29,15,48.4,9,5,55.6,6,66.7,8,4,50,4,50
34005,Burlington,Burlington County,BURLINGTON,172736,0.0538,0.1683,2138279511,8191099293,45296952,185419798,12173,16901,51048,92556,0.07,0.098,0.296,0.536,10,1,10,1,10,12,1,8.3,1,8.3,358,70,19.6,121,33.8,19,2,10.5,5,26.3,98,69,70.4,74,75.5,38,1,2.6,7,18.4,175,6,3.4,25,14.3,11,,0,1,9.1,30,1,3.3,5,16.7,11,0,0,2,18.2,25,10,40,14,56
34007,Camden,Camden County,CAMDEN,189973,0.0339,0.0954,1514854405,4005021011,26146865,88415753,13697,3850,106961,63981,0.072,0.02,0.563,0.337,1,0,0,1,100,18,1,5.6,3,16.7,475,105,22.1,163,34.3,21,,0,2,9.5,198,95,48,111,56.1,19,4,21.1,7,36.8,222,6,2.7,19,8.6,11,3,27.3,4,36.4,27,4,14.8,5,18.5,10,3,30,6,60,1,1,100,1,100
34009,Cape May,Cape May County,CAPE MAY,94742,0.5608,0.7057,55427787368,68187405733,347803421,437101213,46417,20445,17582,10034,0.49,0.216,0.186,0.106,4,2,50,2,50,2,0,0,1,50,87,33,37.9,45,51.7,10,5,50,6,60,96,74,77.1,89,92.7,3,0,0,1,33.3,39,12,30.8,17,43.6,7,,0,,0,14,3,21.4,5,35.7,1,0,0,0,0,5,2,40,3,60
34011,Cumberland,Cumberland County,CUMBERLAND,63398,0.0644,0.1211,424705658,1074467898,8412573,23652592,7249,426,48546,6089,0.114,0.672,0.766,0.096,8,1,12.5,3,37.5,16,1,6.3,3,18.8,152,17,11.2,31,20.4,4,,0,0,0,43,12,27.9,15,34.9,20,1,5,2,10,58,1,1.7,5,8.6,7,,0,,0,15,2,13.3,2,13.3,4,0,0,2,50,3,2,66.7,3,100
34013,Essex,Essex County,ESSEX,176880,0.0358,0.1466,6574829398,20619259504,110358442,426309885,12912,12782,70972,79577,0.073,0.072,0.401,0.45,2,1,50,2,100,28,0,0,1,3.6,1057,276,26.1,483,45.7,30,3,10,10,33.3,141,25,17.7,43,30.5,21,5,23.8,8,38.1,337,14,4.2,50,14.8,7,2,28.6,5,71.4,11,1,9.1,2,18.2,8,5,62.5,8,100,5,0,0,2,40
34015,Gloucester,Gloucester County,GLOUCESTER,111886,0.0274,0.0792,939177023,2954693835,19778455,67232615,6333,2524,47578,55405,0.057,0.023,0.425,0.495,6,0,0,1,16.7,4,1,25,1,25,230,32,13.9,46,20,16,2,12.5,3,18.8,73,41,56.2,44,60.3,17,1,5.9,2,11.8,115,3,2.6,7,6.1,11,3,27.3,5,45.5,23,2,8.7,5,21.7,9,1,11.1,3,33.3,5,4,80,5,100
34017,Hudson,Hudson County,HUDSON,140272,0.2276,0.3169,62615894868,82404750736,684790849,914005314,7219,37044,73330,21744,0.051,0.264,0.523,0.155,0,,,,,24,7,29.2,8,33.3,922,354,38.4,581,63,27,7,25.9,9,33.3,214,110,51.4,136,63.6,21,16,76.2,19,90.5,197,46,23.4,54,27.4,16,9,56.3,11,68.8,18,8,44.4,10,55.6,4,3,75,4,100,5,4,80,4,80
34019,Hunterdon,Hunterdon County,HUNTERDON,51861,0.0354,0.0801,550723202,1590224930,11268791,34815893,165,3987,2314,45393,0.318,0.077,0.045,0.875,14,0,0,,0,2,0,0,0,0,131,17,13,32,24.4,13,1,7.7,4,30.8,42,27,64.3,28,66.7,16,1,6.3,2,12.5,65,,0,2,3.1,6,1,16.7,1,16.7,5,2,40,2,40,3,2,66.7,2,66.7,15,7,46.7,8,53.3
